Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19041502,06/04/2019,17:06,06/04/2019,19:06,,,Outside State Warrant Arrest,,,144,EMANUEL CLEAVER II BLVD and BRUCE R WATKINS DR,KANSAS CITY,,,,N,ARR,W,F,47,false,
KC19041548,06/04/2019,20:09,06/04/2019,20:09,,,Assault (Aggravated),13A,Aggravated Assault,212,4200  E 63RD ST,KANSAS CITY,64132,PJ5105,MPD,N,VIC,B,M,34,true,
KC19041714,06/05/2019,10:14,06/05/2019,10:14,,,Assault (Aggravated),13A,Aggravated Assault,676,LEVEE RD and WARREN RD,NORTH KANSAS CITY,,,OSPD,N,VIC,B,M,33,false,
KC19041756,06/05/2019,13:28,06/05/2019,13:28,,,City/Municipal Warrant Arrest,,,,2900  NW VIVION RD,RIVERSIDE,64150,,,N,ARR CHA SUS,W,M,56,false,"2900  NW VIVION RD
RIVERSIDE 64150
(39.176225, -94.614919)"
KC19041793,06/05/2019,13:06,06/05/2019,14:50,,,Forgery,250,Counterfeiting / Forgery,,13000  STATE LINE RD,KANSAS CITY,64145,,,N,VIC,,,,false,
KC19041876,06/05/2019,18:58,06/05/2019,18:58,,,State Warrant Arrest,,,133,W 38TH ST and WASHINGTON ST,KANSAS CITY,64111,PJ2955,CPD,N,ARR CHA SUS,,F,41,false,
KC19041968,06/06/2019,02:45,06/06/2019,02:45,,,Outside State Warrant Arrest,,,133,WESTPORT RD and BALTIMORE AVE,KANSAS CITY,64111,PJ3178,CPD,N,ARR CHA,B,M,32,false,
KC19042191,06/06/2019,18:14,06/06/2019,18:14,,,City/Municipal Warrant Arrest,,,232,E GREGORY BLVD and HOLMES RD,KANSAS CITY,64132,PJ5388,MPD,N,VIC,,,,false,
KC19042219,06/06/2019,20:45,06/06/2019,20:45,06/06/2019,20:45,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19042267,06/03/2019,16:48,06/03/2019,16:24,,,Terroristic Threats,13C,Intimidation,134,4400  WORNALL RD,KANSAS CITY,64111,PJ3485,CPD,N,SUS,B,M,24,false,"4400  WORNALL RD
KANSAS CITY 64111
(39.046134, -94.59015)"
